trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.9, 'e': 0.9296008300257927}",25,0,-64.0266205889638,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
74,False,"{'a': 0.9, 'e': 0.9286716938412872}",25,0,-41.91804910711656,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
75,False,"{'a': 0.9, 'e': 0.9277434863285529}",20,0,-34.420354038724696,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
76,False,"{'a': 0.9, 'e': 0.9268162065593822}",20,0,-81.56361590835496,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
77,False,"{'a': 0.9, 'e': 0.9258898536064953}",20,0,-172.97390052899632,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
78,False,"{'a': 0.9, 'e': 0.9249644265435393}",25,0,-85.25928731491278,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
79,False,"{'a': 0.9, 'e': 0.9240399244450868}",20,0,-109.08716083102726,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
80,False,"{'a': 0.9, 'e': 0.9231163463866358}",20,0,-109.22244390580641,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
81,False,"{'a': 0.9, 'e': 0.922193691444608}",25,0,-111.82590602470741,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
82,False,"{'a': 0.9, 'e': 0.9212719586963487}",25,0,-55.72248647627835,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
83,False,"{'a': 0.9, 'e': 0.9203511472201247}",30,0,-193.66923281218038,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
84,False,"{'a': 0.9, 'e': 0.9194312560951247}",25,0,-151.4078375199409,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
85,False,"{'a': 0.9, 'e': 0.9185122844014574}",20,0,-101.80107205350139,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
